entity,import_id,name,title,description,start_date,end_date,duration_days,project_manager,sponsor,budget,currency,contractual_end_date,methodology,status,project_code,requesting_area,project_type,priority,responsible_team,problem_statement,current_situation,consequence_if_not_done,general_objective,specific_objectives,objective_indicators,scope_included,scope_excluded,success_criteria,assumptions,constraints,project_context,political_context,geographic_context,socioeconomic_context,cultural_context,institutional_context,stakeholders,external_dependencies,regulatory_constraints,component_ref,parent_ref,phase,task_type,progress,owner,story_points,order_index,predecessor_ref,successor_ref,dependency_type,lag_days,role,email,capacity,objective,goal,velocity,sprint_ref,points,assignee,master_task_wbs,probability,impact,level,response,mitigation_plan,contingency_plan,deliverable_type,due_date,evidence_url,thread_ref,context_type,context_id,category,created_by,author,message,mentions,message_type
project,,Sistema de Monitoreo Territorial IA,,Proyecto para integrar datos territoriales y alertas tempranas de gestion publica,2026-07-01,2026-09-30,,Alejandra Trujillo,Secretaria General,180000000,COP,2026-09-15,Hibrida,En ejecucion,SMT-IA-2026,Direccion de Planeacion,Transformacion digital,Alta,PMO; Equipo Datos; Equipo Territorial,La entidad no cuenta con trazabilidad oportuna de indicadores territoriales para anticipar incumplimientos,Los reportes se consolidan manualmente cada mes desde archivos dispersos y llegan tarde al comite,Si no se ejecuta el proyecto se mantendran decisiones tardias y riesgo de incumplir compromisos institucionales,Implementar una plataforma de monitoreo territorial con indicadores consolidados alertas tempranas y soporte de decisiones,1. Integrar fuentes territoriales prioritarias | 2. Automatizar indicadores criticos | 3. Generar alertas para comite directivo | 4. Capacitar equipos regionales,Cobertura de fuentes >= 85%; tiempo de consolidacion <= 2 dias; alertas revisadas semanalmente >= 90%,Integracion inicial de fuentes; tablero ejecutivo; alertas; capacitacion; reporte de evidencias,No incluye reemplazo del ERP financiero ni interoperabilidad con sistemas nacionales no disponibles,Comite usa tablero semanalmente; indicadores auditables; regiones cargan datos completos,Disponibilidad de enlaces regionales y datos base validados,El despliegue debe cumplir politica institucional de datos y cierre presupuestal anual,Proyecto con impacto en regiones de dificil conectividad y alto escrutinio del sponsor,Hay expectativa politica de mostrar avances antes del cierre trimestral,Cubre regiones andina caribe y pacifica con diferencias de conectividad,Algunas regiones tienen baja capacidad tecnica para reportar datos,Se requiere lenguaje claro para equipos no tecnicos,Depende de aprobacion de arquitectura y gobierno de datos,Sponsor; PMO; Direccion Planeacion; Lideres regionales; Equipo Tecnologia; Auditoria,Entrega de datos por regiones y acceso a repositorio institucional,Politica de proteccion de datos y lineamientos de gobierno digital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
component,C1,Descubrimiento y gobierno de datos,,,,,,,,,,,Hibrida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ana Gomez,,,,,,,,,,Definir fuentes reglas de calidad y gobierno de indicadores,,,,,,,,,,,,,,,,,,,,,,,,
component,C2,Integracion y automatizacion,,,,,,,,,,,Hibrida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carlos Rios,,,,,,,,,,Construir integraciones y procesamiento de indicadores,,,,,,,,,,,,,,,,,,,,,,,,
component,C3,Tablero y alertas IA,,,,,,,,,,,Hibrida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maria Torres,,,,,,,,,,Publicar tablero ejecutivo con alertas contextualizadas,,,,,,,,,,,,,,,,,,,,,,,,
component,C4,Gestion del cambio regional,,,,,,,,,,,Hibrida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laura Perez,,,,,,,,,,Capacitar usuarios y asegurar adopcion regional,,,,,,,,,,,,,,,,,,,,,,,,
resource,,Ana Gomez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gobierno de datos,ana.gomez@prunin.local,90,,,,,,,,,,,,,,,,,,,,,,,,,
resource,,Carlos Rios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arquitecto de integracion,carlos.rios@prunin.local,120,,,,,,,,,,,,,,,,,,,,,,,,,
resource,,Maria Torres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lider BI e IA,maria.torres@prunin.local,110,,,,,,,,,,,,,,,,,,,,,,,,,
resource,,Laura Perez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gestion del cambio,laura.perez@prunin.local,80,,,,,,,,,,,,,,,,,,,,,,,,,
task,T1,,Plan de gobierno de datos,Acordar reglas de calidad roles de aprobacion y criterios de auditoria,2026-07-01,2026-07-10,10,,,,,,,Completada,,,,,,,,,,,,,,,,,,,,,,,,,,C1,,Inicio,task,100,Ana Gomez,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
task,T2,,Inventario de fuentes regionales,Levantar fuentes y responsables por region,2026-07-11,2026-07-22,12,,,,,,,En progreso,,,,,,,,,,,,,,,,,,,,,,,,,,C1,,Planeacion,task,80,Ana Gomez,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
task,T3,,Definicion de indicadores criticos,Priorizar indicadores ligados a compromisos institucionales,2026-07-23,2026-08-02,11,,,,,,,En progreso,,,,,,,,,,,,,,,,,,,,,,,,,,C1,,Planeacion,task,60,Ana Gomez,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
task,T4,,Pipeline de integracion inicial,Construir extraccion y validacion automatica de datos,2026-08-03,2026-08-20,18,,,,,,,En progreso,,,,,,,,,,,,,,,,,,,,,,,,,,C2,,Ejecucion,task,35,Carlos Rios,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
task,T5,,Modelo de alertas tempranas,Configurar reglas para alertar desviaciones por objetivo indicador y region,2026-08-21,2026-09-03,14,,,,,,,En progreso,,,,,,,,,,,,,,,,,,,,,,,,,,C3,,Ejecucion,task,10,Maria Torres,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
